primary_transaction_id,timestamp,ticket_id,event_id,buyer_id,face_value_price,is_bulk_bot_suspected
PTX100024,2026-05-21 05:38:41.996646,T-f264512225,E2026,U100189,247.8,0
PTX100025,2025-12-16 08:33:30.119257,T-a02e63f1cb,E2127,U100515,291.21,0
PTX100026,2026-02-03 16:16:00.718443,T-9ca3222fa2,E2070,U100474,34.74,0
PTX100027,2026-02-14 21:18:21.099933,T-92a324a4ad,E2057,U100138,21.71,0
PTX100028,2026-07-10 00:36:26.348724,T-7bdd20a765,E2107,U100371,289.44,0
PTX100029,2025-12-05 03:56:07.856526,T-bd61c8036d,E2086,U100381,90.84,0
PTX100030,2026-05-07 06:13:22.554125,T-3db723ab27,E2100,U100459,123.4,0
PTX100031,2025-12-30 18:35:24.576486,T-3d359b7a53,E2031,U100585,27.14,0
PTX100032,2026-04-06 15:57:27.245858,T-c384fb2cf2,E2102,U100551,70.56,0
PTX100033,2025-10-21 14:38:43.589349,T-e060cc14ef,E2073,U100059,395.8,0
PTX100034,2026-02-19 18:06:00.302713,T-76ad5706f9,E2091,U100369,148.0,0
PTX100035,2026-04-05 14:04:22.475850,T-a759444fc5,E2029,U100091,24.69,0
PTX100036,2026-03-24 05:22:40.812840,T-7ecf11591b,E2034,U100359,108.96,0
PTX100037,2026-04-09 13:06:58.188007,T-9782811b46,E2024,U100529,48.89,0
PTX100038,2026-04-09 03:18:19.121858,T-4bfca88337,E2137,U100246,64.8,0
PTX100039,2026-04-25 13:40:27.266466,T-0c85c300f9,E2009,U100269,36.42,0
PTX100040,2026-02-15 18:22:11.471514,T-25cbddedb9,E2010,U100489,295.6,0
PTX100041,2026-03-27 03:56:47.043558,T-a0f5fc6ff5,E2001,U100544,63.33,0
PTX100042,2026-06-16 17:23:44.264769,T-24ac68ffc1,E2013,U100365,39.11,0
PTX100043,2026-04-06 03:20:14.245406,T-e313beccb8,E2033,U100069,76.11,0
PTX100044,2026-01-21 03:43:40.019512,T-41a2bcdfc3,E2122,U100456,129.8,0
PTX100045,2026-02-14 09:06:56.646735,T-5e13b1e502,E2069,U100272,211.28,0
PTX100046,2025-11-28 15:46:58.131021,T-8a90165d54,E2058,U100525,30.07,0
PTX100047,2026-01-21 06:34:38.699241,T-268ac31f83,E2058,U100578,30.07,0
PTX100048,2026-04-29 01:05:14.752104,T-cf9e0f6919,E2039,U100051,272.37,0
PTX100049,2026-01-18 00:51:10.931369,T-368240bc4b,E2023,U100102,38.36,0
PTX100050,2026-04-10 20:30:28.361773,T-df7269bbf4,E2008,U100575,10.99,0
PTX100051,2026-05-31 22:46:22.576286,T-387b24031c,E2008,U100405,10.99,0
PTX100052,2025-09-20 14:26:41.682810,T-3f8f6a5df6,E2065,U100112,275.0,0
PTX100053,2026-02-10 15:05:29.225136,T-836b2319cd,E2102,U100153,70.56,0
PTX100054,2026-03-04 02:35:58.012419,T-0369404a9c,E2000,U100271,380.47,0
PTX100055,2026-02-24 04:41:03.978303,T-b011466d43,E2114,U100404,349.89,0
PTX100056,2026-05-22 21:18:59.530674,T-a4f043e6ce,E2097,U100098,19.68,0
PTX100057,2026-02-21 09:29:49.074726,T-e952f9c494,E2118,U100273,91.21,0
PTX100058,2026-04-12 22:27:59.972650,T-067bedfad9,E2041,U100325,268.89,0
PTX100059,2026-04-15 12:06:27.841170,T-98a6295519,E2109,U100566,180.77,0
PTX100060,2026-07-01 07:12:50.744296,T-fb934195ee,E2080,U100059,24.02,0
PTX100061,2026-03-30 18:36:27.931878,T-d10c8360e1,E2075,U100456,272.63,0
PTX100062,2026-03-29 01:27:38.691423,T-4099b27f66,E2010,U100466,295.6,0
PTX100063,2025-10-02 15:22:26.569051,T-314b6654a8,E2089,U100104,230.82,0
PTX100064,2026-02-11 14:11:38.402416,T-58b0ac67a0,E2040,U100496,32.45,0
PTX100065,2026-01-30 17:09:59.324816,T-7d07b2eefd,E2010,U100427,295.6,0
PTX100066,2025-11-28 09:07:24.762293,T-5ed4754d28,E2050,U100001,14.34,0
PTX100067,2026-02-10 18:46:56.794398,T-6eeb94a60a,E2121,U100075,11.97,0
PTX100068,2026-02-26 17:16:47.366089,T-df783d2620,E2006,U100043,30.52,0
PTX100069,2025-12-24 13:33:50.780400,T-17a116cea4,E2069,U100187,211.28,0
PTX100070,2026-02-14 22:09:23.857544,T-1fa4410261,E2141,U100086,96.8,0
PTX100071,2026-04-16 01:22:58.981790,T-2c782f67f0,E2009,U100414,36.42,0
PTX100072,2026-02-03 14:11:10.480278,T-83176a2489,E2081,U100046,80.64,0
PTX100073,2025-11-06 14:49:55.512717,T-2bc9870f12,E2098,U100403,12.8,0
PTX100074,2026-06-08 02:36:18.198674,T-dbddc303a4,E2071,U100407,10.85,0
PTX100075,2026-03-15 22:29:25.168014,T-ab01964a21,E2110,U100219,178.61,0
PTX100076,2026-01-02 00:27:20.318459,T-1211b2b39b,E2093,U100562,352.24,0
PTX100077,2026-04-11 19:06:49.592351,T-16527e90ad,E2123,U100105,178.82,0
PTX100078,2025-10-09 03:58:19.989402,T-4097a9e893,E2140,U100436,172.0,0
PTX100079,2025-12-27 03:24:35.109143,T-0bb7fdc528,E2086,U100173,90.84,0
PTX100080,2026-02-04 03:56:31.359192,T-fe14045d6b,E2036,U100332,209.97,0
PTX100081,2026-02-04 09:24:11.917123,T-b319e3fc0d,E2113,U100233,26.95,0
PTX100082,2025-12-04 01:40:05.983071,T-17feb2ae02,E2084,U100093,9.66,0
PTX100083,2025-12-25 20:46:43.226435,T-798c1f9e72,E2046,U100553,79.47,0
PTX100084,2025-11-22 01:51:12.561395,T-f54cc790cd,E2078,U100557,223.13,1
PTX100085,2026-01-05 01:15:46.708068,T-8e13a54283,E2035,U100038,142.11,0
PTX100086,2026-01-29 05:05:18.726165,T-74bd22226d,E2094,U100211,18.46,0
PTX100087,2026-05-27 22:17:50.855755,T-0c8477a2f1,E2146,U100354,125.6,0
PTX100088,2026-05-25 06:10:13.739445,T-07f21dd3e5,E2038,U100213,110.29,0
PTX100089,2026-02-23 18:58:09.674315,T-ad372ecfed,E2011,U100199,238.84,0
PTX100090,2026-02-03 11:08:58.626391,T-612447a60b,E2005,U100456,349.59,0
PTX100091,2025-12-25 11:19:13.886466,T-93b3e63c10,E2118,U100484,91.21,0
PTX100092,2026-04-25 06:48:39.065786,T-3501a5ebf8,E2044,U100389,96.95,0
PTX100093,2025-11-17 09:40:54.353464,T-2a25856f38,E2035,U100068,142.11,0
PTX100094,2026-02-08 15:59:55.677991,T-12a4fc118e,E2077,U100099,170.13,0
PTX100095,2026-03-17 04:27:22.370194,T-a1f61c0ba7,E2036,U100171,209.97,0
PTX100096,2025-11-24 04:56:10.997217,T-eded09da63,E2098,U100539,12.8,0
PTX100097,2026-03-02 09:22:02.065264,T-eebf23aff6,E2118,U100180,91.21,0
PTX100098,2026-03-18 09:28:27.054711,T-59ebb9cee9,E2044,U100207,96.95,0
PTX100099,2026-01-29 01:44:10.377074,T-1d2e4eeaa1,E2045,U100284,170.7,0
PTX100100,2026-03-04 13:03:09.866827,T-6a19dc8e89,E2062,U100163,319.71,0
PTX100101,2026-04-16 04:50:31.277645,T-1afde07e7d,E2041,U100482,268.89,0
PTX100102,2026-04-23 03:48:12.844659,T-2b26b20bba,E2041,U100339,268.89,0
PTX100103,2026-05-02 22:12:27.499343,T-3858773dd9,E2023,U100417,38.36,0
PTX100104,2026-06-11 20:36:49.354677,T-78c46d6f4d,E2126,U100203,192.76,0
PTX100105,2026-02-21 02:54:52.814986,T-69a62efb62,E2146,U100458,125.6,0
PTX100106,2025-11-10 05:07:37.912054,T-cdbe36936a,E2140,U100575,172.0,0
PTX100107,2026-02-09 05:44:25.457935,T-0f28112f6c,E2103,U100426,193.22,0
PTX100108,2026-04-04 13:53:42.071738,T-7269bba36e,E2026,U100290,247.8,0
PTX100109,2025-10-16 01:38:35.385715,T-91d92f08d6,E2143,U100064,11.96,0
PTX100110,2026-04-16 00:31:32.607993,T-217f540edd,E2005,U100166,349.59,0
PTX100111,2026-02-22 23:01:29.921416,T-3cee608eaf,E2125,U100383,138.51,0
PTX100112,2026-03-06 15:55:49.122813,T-8796662209,E2005,U100055,349.59,0
PTX100113,2025-11-24 17:41:31.537064,T-05ca8856d2,E2093,U100432,352.24,0
PTX100114,2025-09-25 02:12:53.519937,T-e2aba298cb,E2035,U100292,142.11,0
PTX100115,2025-11-07 03:11:44.756063,T-be817831b2,E2143,U100298,11.96,0
PTX100116,2026-02-11 20:57:58.057267,T-0a4076eefb,E2020,U100565,173.92,0
PTX100117,2025-11-27 22:53:13.082296,T-c4ae587a3f,E2130,U100599,17.52,0
PTX100118,2026-03-17 04:16:50.662079,T-ba9f8d5fe6,E2138,U100038,11.43,0
PTX100119,2025-09-21 00:03:56.147889,T-4b2e9ff68a,E2048,U100043,187.11,0
PTX100120,2026-04-24 16:33:57.571619,T-c1ac498f1f,E2079,U100328,392.54,0
PTX100121,2026-01-11 23:05:35.350132,T-fd954af883,E2072,U100039,8.76,0
PTX100122,2025-12-26 01:00:56.000296,T-3b050296c4,E2014,U100052,289.23,1
PTX100123,2026-03-06 23:42:19.204732,T-e070a8adc0,E2145,U100260,154.98,0
PTX100124,2026-01-27 16:27:03.066948,T-a84b4b5cb5,E2082,U100362,67.08,0
PTX100125,2026-05-19 06:18:56.550392,T-a6ea6bde70,E2013,U100509,39.11,0
PTX100126,2026-04-10 03:32:18.790100,T-e6caffdefc,E2010,U100566,295.6,0
PTX100127,2026-02-12 18:57:17.739389,T-507c27c597,E2011,U100146,238.84,0
PTX100128,2025-10-25 12:18:37.924899,T-9787a40d29,E2050,U100315,14.34,0
PTX100129,2026-04-18 20:52:31.366158,T-38f8560cb9,E2135,U100312,120.49,0
PTX100130,2026-02-24 08:14:28.290482,T-fc7c90d9f8,E2056,U100095,203.24,0
PTX100131,2026-03-23 01:34:41.438038,T-c3bbfae2aa,E2067,U100403,31.16,0
PTX100132,2025-11-20 11:11:42.206854,T-8fa3ca8e32,E2132,U100464,115.37,0
PTX100133,2026-01-06 01:22:07.170852,T-96be830a98,E2078,U100070,223.13,0
PTX100134,2025-12-08 20:05:07.537531,T-c1532f4dfc,E2030,U100297,21.8,0
PTX100135,2025-10-31 07:33:51.356140,T-48515c4bbc,E2140,U100288,172.0,0
PTX100136,2025-11-24 19:24:16.163689,T-8643ff6a5e,E2129,U100191,302.62,0
PTX100137,2025-11-28 13:24:36.075878,T-34a454b2d4,E2129,U100358,302.62,0
PTX100138,2025-11-30 12:06:32.378082,T-0b90be4ed8,E2087,U100416,29.29,0
PTX100139,2025-10-06 22:01:55.556464,T-ea232311bf,E2055,U100265,177.24,0
PTX100140,2026-02-02 01:25:40.269166,T-db789b768b,E2130,U100513,17.52,0
PTX100141,2026-04-25 21:58:07.203315,T-6752f7554e,E2108,U100255,32.39,0
PTX100142,2025-09-19 02:34:12.753306,T-441b80683d,E2078,U100273,223.13,0
PTX100143,2025-12-02 02:10:56.521397,T-773571d364,E2020,U100519,173.92,0
PTX100144,2025-12-04 21:29:03.864900,T-eec5573a3c,E2077,U100122,170.13,0
PTX100145,2025-11-28 17:12:28.437073,T-f522e27fca,E2140,U100566,172.0,0
PTX100146,2026-01-09 14:33:25.999972,T-d433d99340,E2131,U100083,55.27,0
PTX100147,2026-04-04 07:52:25.322575,T-b5b14fe17f,E2097,U100017,19.68,0
PTX100148,2026-02-12 22:24:56.021571,T-25b9e07919,E2127,U100045,291.21,0
PTX100149,2026-06-04 16:47:33.102495,T-bce73cd9b2,E2071,U100389,10.85,0
PTX100150,2026-03-17 16:53:49.973958,T-ba5fcf528a,E2066,U100314,17.22,0
PTX100151,2025-12-28 09:36:10.845950,T-fc0bbb1e4c,E2122,U100487,129.8,0
PTX100152,2026-03-21 17:56:14.637774,T-19eb6d95b1,E2131,U100304,55.27,0
PTX100153,2026-03-19 12:22:11.123097,T-a39e614b43,E2149,U100081,175.26,0
PTX100154,2026-01-14 17:32:07.791549,T-2abf39e063,E2070,U100180,34.74,0
PTX100155,2026-04-20 16:26:50.310135,T-02ddaa418a,E2009,U100472,36.42,0
PTX100156,2026-01-26 23:43:06.424483,T-45a0e177e2,E2042,U100516,170.65,0
PTX100157,2026-03-30 12:55:55.495400,T-65a9744c82,E2016,U100242,249.66,0
PTX100158,2026-03-02 06:42:14.127125,T-7310b7e5ce,E2101,U100052,12.28,0
PTX100159,2026-01-13 11:40:56.807968,T-1ba8a3430d,E2064,U100493,186.6,0
PTX100160,2026-04-29 20:18:18.018233,T-fd3ca818a8,E2135,U100590,120.49,0
PTX100161,2026-03-18 21:54:24.548106,T-4292b0da73,E2022,U100337,64.25,0
PTX100162,2026-04-23 16:59:35.374448,T-3e782fe380,E2066,U100005,17.22,0
PTX100163,2026-03-23 14:04:29.956212,T-35b7354a13,E2114,U100113,349.89,0
PTX100164,2025-12-31 10:00:48.654432,T-db29f159e3,E2015,U100527,27.54,0
PTX100165,2026-03-29 19:09:53.483933,T-0ed957bca7,E2104,U100454,128.06,0
PTX100166,2026-02-19 16:27:01.483670,T-bae2ed22a9,E2005,U100415,349.59,1
PTX100167,2026-01-25 18:10:11.468871,T-2f7792eb6f,E2004,U100022,236.73,0
PTX100168,2026-03-06 10:44:31.722244,T-03c534b041,E2044,U100562,96.95,0
PTX100169,2026-02-02 17:44:32.487588,T-642e1e578f,E2011,U100475,238.84,0
PTX100170,2026-06-03 12:47:32.286254,T-a6538566b7,E2052,U100005,261.8,0
PTX100171,2026-05-05 18:53:54.895764,T-27194bf5da,E2013,U100476,39.11,0
PTX100172,2025-12-15 16:12:08.294834,T-81a4f72352,E2072,U100186,8.76,0
PTX100173,2026-05-04 08:55:11.137316,T-9fc7c553ce,E2075,U100268,272.63,0
PTX100174,2026-01-16 05:06:59.582412,T-993f67d2cc,E2056,U100332,203.24,0
PTX100175,2025-11-30 12:09:21.087015,T-e88277b239,E2064,U100545,186.6,0
PTX100176,2025-12-14 19:04:23.950209,T-d772ce986f,E2042,U100265,170.65,0
PTX100177,2026-03-07 01:09:59.158433,T-58c72058f4,E2135,U100338,120.49,0
PTX100178,2026-01-16 16:33:41.443187,T-20edff32a4,E2032,U100406,36.74,0
PTX100179,2025-12-04 00:32:05.477365,T-59e5f1c958,E2092,U100299,121.83,1
PTX100180,2025-10-22 13:37:31.986715,T-4eba806c71,E2143,U100513,11.96,0
PTX100181,2025-10-30 13:26:16.066693,T-7e013dde7a,E2085,U100489,266.86,0
PTX100182,2025-12-04 00:38:19.134675,T-8d252df818,E2051,U100235,240.35,0
PTX100183,2026-05-30 03:00:27.340090,T-c366b1a1bf,E2145,U100342,154.98,0
PTX100184,2026-03-23 17:10:39.597601,T-8a28f65ccb,E2145,U100431,154.98,0
PTX100185,2025-12-30 08:15:44.205527,T-7fe3afb791,E2064,U100486,186.6,0
PTX100186,2025-12-02 06:35:45.478999,T-c5ed7e70a6,E2077,U100575,170.13,0
PTX100187,2026-01-09 02:30:48.937635,T-6aaae305d0,E2036,U100582,209.97,0
PTX100188,2026-04-10 07:12:53.915109,T-6d9f3cbbe1,E2137,U100366,64.8,0
PTX100189,2026-01-01 22:49:36.045649,T-abca6955db,E2121,U100459,11.97,0
PTX100190,2026-05-24 16:02:34.313025,T-87c347e693,E2126,U100066,192.76,0
PTX100191,2026-04-21 01:28:24.687499,T-03899fddbe,E2148,U100259,31.22,0
PTX100192,2026-01-10 00:27:54.265733,T-9267191317,E2056,U100502,203.24,0
PTX100193,2026-04-19 00:16:24.334935,T-e6a7068477,E2146,U100010,125.6,0
PTX100194,2026-01-18 00:28:26.944216,T-40d8e304d3,E2094,U100423,18.46,0
PTX100195,2025-12-15 22:01:14.379843,T-3639ce0eb1,E2106,U100355,286.96,0
PTX100196,2026-01-09 22:17:48.690125,T-8708a1a36e,E2051,U100533,240.35,0
PTX100197,2026-05-17 11:02:55.058028,T-102b979279,E2067,U100135,31.16,0
PTX100198,2026-03-14 02:22:42.635657,T-e75885e1f5,E2063,U100288,13.45,0
PTX100199,2026-01-15 16:14:37.887159,T-9a7f89e31e,E2036,U100511,209.97,0
PTX100200,2026-01-05 22:19:45.024832,T-37a04e3312,E2042,U100207,170.65,0
PTX100201,2026-02-26 22:33:39.384086,T-d0759ba4e0,E2005,U100479,349.59,0
PTX100202,2026-04-14 15:01:34.817823,T-c03219a789,E2076,U100373,25.54,0
PTX100203,2025-10-29 16:53:00.212613,T-8a282d37e6,E2090,U100302,390.19,0
PTX100204,2025-12-23 14:23:01.987754,T-00536ca974,E2043,U100584,9.04,0
PTX100205,2026-02-20 20:13:46.748077,T-d8d6a7b96e,E2002,U100290,133.18,0
PTX100206,2026-05-21 08:02:29.376636,T-489f69a72c,E2026,U100457,247.8,0
PTX100207,2026-03-26 04:16:05.864304,T-f789c43991,E2133,U100267,236.52,0
PTX100208,2026-03-27 01:13:45.515844,T-accd19df11,E2021,U100492,347.54,0
PTX100209,2026-02-09 08:15:07.651530,T-d6d09391a1,E2023,U100045,38.36,0
PTX100210,2025-11-07 15:59:43.525244,T-0fd3c18c8d,E2093,U100241,352.24,0
PTX100211,2026-03-30 04:46:32.471885,T-00cb89840d,E2134,U100480,241.3,0
PTX100212,2025-11-28 15:51:23.321472,T-3d8aaff191,E2111,U100467,31.94,0
PTX100213,2026-01-21 14:11:43.595684,T-c01d6452d9,E2009,U100197,36.42,0
PTX100214,2026-02-15 18:21:18.051673,T-f81c378c55,E2039,U100027,272.37,0
PTX100215,2025-09-11 06:39:03.947153,T-57719eed2f,E2111,U100529,31.94,0
PTX100216,2026-04-20 18:49:15.662273,T-7b99f19b74,E2102,U100172,70.56,0
PTX100217,2026-01-12 15:39:48.448930,T-003f51e2ae,E2148,U100132,31.22,1
PTX100218,2026-06-09 18:26:49.411128,T-5ae2d5487d,E2075,U100086,272.63,0
PTX100219,2025-11-27 06:40:13.370172,T-4bdf82985e,E2037,U100136,200.88,0
PTX100220,2025-11-10 11:58:27.892260,T-89e5e51507,E2077,U100369,170.13,0
PTX100221,2025-12-06 20:32:11.372687,T-0c97ca276b,E2086,U100417,90.84,0
PTX100222,2026-03-16 06:01:02.114606,T-8dd53e20d7,E2126,U100193,192.76,0
PTX100223,2026-03-05 19:06:20.732825,T-8141534166,E2036,U100167,209.97,0
PTX100224,2026-04-03 19:45:33.740231,T-a8967b8a27,E2060,U100401,19.83,0
PTX100225,2025-12-09 03:30:55.023635,T-4c4437e90a,E2031,U100403,27.14,0
PTX100226,2025-09-27 09:16:56.186761,T-fef3e29ee4,E2030,U100064,21.8,0
PTX100227,2025-12-10 20:55:18.325082,T-f53b608714,E2116,U100249,8.35,0
PTX100228,2025-12-29 02:36:46.234390,T-05487929a0,E2085,U100493,266.86,0
PTX100229,2026-06-06 04:29:32.726576,T-d6b8beed47,E2075,U100321,272.63,0
PTX100230,2026-03-16 06:37:54.274150,T-8f20b5f4db,E2017,U100489,17.57,0
PTX100231,2026-05-18 20:13:42.241918,T-f37992985a,E2100,U100453,123.4,0
PTX100232,2026-01-16 10:46:34.943785,T-3cbe751f54,E2040,U100148,32.45,0
PTX100233,2026-04-04 04:45:47.583903,T-4231dcf7bd,E2141,U100126,96.8,0
PTX100234,2026-03-18 12:40:57.832981,T-daac6e906e,E2114,U100191,349.89,0
PTX100235,2026-01-18 21:03:21.855934,T-300bd8e107,E2133,U100250,236.52,0
PTX100236,2026-03-07 12:06:12.184493,T-fa041ea4ae,E2033,U100128,76.11,0
PTX100237,2026-03-30 20:07:38.249893,T-db731c6b0c,E2036,U100407,209.97,0
PTX100238,2026-01-23 07:16:19.659818,T-a13d97b6eb,E2050,U100127,14.34,0
PTX100239,2026-03-06 01:20:00.673662,T-946ab6168e,E2016,U100345,249.66,0
PTX100240,2026-02-03 07:12:13.392755,T-20b73c66d8,E2110,U100178,178.61,0
PTX100241,2026-03-08 04:29:09.818641,T-9c8478d10f,E2117,U100527,140.34,0
PTX100242,2026-06-15 11:23:46.901750,T-4eaba60dcb,E2044,U100167,96.95,0
PTX100243,2026-03-28 17:01:51.334860,T-405c9c92fc,E2000,U100103,380.47,0
PTX100244,2026-07-07 06:45:12.246231,T-ecc7fb9032,E2013,U100111,39.11,0
PTX100245,2025-11-08 22:46:24.293310,T-89605d872d,E2055,U100571,177.24,0
PTX100246,2026-02-23 19:47:30.881098,T-c42dcf678e,E2102,U100024,70.56,0
PTX100247,2025-12-16 13:45:51.908057,T-c0f0e1e211,E2118,U100325,91.21,0
PTX100248,2026-03-03 01:54:34.400264,T-58844eca62,E2042,U100180,170.65,0
PTX100249,2026-01-12 02:48:43.647022,T-7447687ab0,E2005,U100258,349.59,0
PTX100250,2026-04-20 09:17:01.259434,T-0ac2bd60e3,E2063,U100344,13.45,0
PTX100251,2026-04-21 19:15:12.113137,T-49cfe1a621,E2012,U100092,111.2,0
PTX100252,2025-12-02 10:08:56.924184,T-bc01573da2,E2122,U100263,129.8,0
PTX100253,2026-01-06 20:59:34.880638,T-ee7f894dd6,E2027,U100455,196.63,0
PTX100254,2026-01-24 11:34:30.327173,T-50481aee73,E2133,U100511,236.52,0
PTX100255,2025-10-02 22:29:03.824752,T-35aacfa16c,E2061,U100481,108.5,0
PTX100256,2026-03-23 18:22:08.739843,T-fa67a1120b,E2024,U100383,48.89,0
PTX100257,2026-01-19 11:46:43.780348,T-37d0096445,E2022,U100259,64.25,0
PTX100258,2026-04-18 22:23:09.655241,T-43114bbabe,E2128,U100577,175.71,0
PTX100259,2025-10-21 01:32:02.278205,T-b9ddcfeb54,E2015,U100454,27.54,0
PTX100260,2026-04-17 19:32:11.949794,T-4b99ff7f89,E2067,U100344,31.16,0
PTX100261,2026-05-05 22:42:22.160342,T-15d451e351,E2109,U100585,180.77,0
PTX100262,2025-11-11 15:44:38.640530,T-b62b8918d1,E2143,U100477,11.96,0
PTX100263,2026-01-08 12:39:44.636674,T-8300a6e3eb,E2069,U100114,211.28,0
PTX100264,2026-03-07 03:28:10.786587,T-d599fb5985,E2002,U100054,133.18,0
PTX100265,2025-11-29 04:03:21.432684,T-b06926134b,E2129,U100525,302.62,0
PTX100266,2026-03-18 16:22:14.182272,T-6bfaf9510b,E2128,U100051,175.71,0
PTX100267,2026-03-17 04:17:52.898873,T-eeb4b71e0b,E2023,U100451,38.36,0
PTX100268,2026-03-07 14:53:35.085192,T-337f4655bf,E2072,U100157,8.76,0
PTX100269,2025-09-22 11:43:36.869267,T-dfd4b762a1,E2035,U100099,142.11,0
PTX100270,2026-05-10 22:43:26.968363,T-c17ec1f3d1,E2060,U100053,19.83,0
PTX100271,2026-05-10 19:48:35.949470,T-02d5f37bca,E2063,U100474,13.45,0
PTX100272,2026-04-09 13:12:43.760930,T-c44b1a88c6,E2033,U100397,76.11,0
PTX100273,2025-11-01 03:34:04.067454,T-e727f347fa,E2055,U100576,177.24,0
PTX100274,2025-12-14 21:11:39.854164,T-14cbd993bd,E2070,U100475,34.74,0
PTX100275,2025-11-13 19:43:17.879875,T-823cd898d9,E2092,U100047,121.83,0
PTX100276,2026-03-24 04:32:05.590710,T-29ecb616c0,E2099,U100051,392.02,0
PTX100277,2026-02-28 06:42:21.818868,T-fbf32e17e3,E2062,U100136,319.71,0
PTX100278,2026-04-16 00:30:38.768224,T-b9cd043d00,E2029,U100576,24.69,0
PTX100279,2026-01-06 06:37:15.644637,T-69623a8ce7,E2093,U100419,352.24,0
PTX100280,2026-04-18 01:21:32.694058,T-496c93b771,E2001,U100014,63.33,0
PTX100281,2026-01-19 01:18:34.982086,T-a1a386baf5,E2017,U100392,17.57,0
PTX100282,2026-04-02 16:28:30.311218,T-7987f6f540,E2096,U100249,350.86,0
PTX100283,2026-03-22 12:24:37.860419,T-fbca5ac510,E2040,U100124,32.45,0
PTX100284,2026-04-09 22:55:11.057103,T-a1d9482311,E2040,U100013,32.45,0
PTX100285,2025-11-24 17:01:21.347069,T-2731fce2d5,E2118,U100378,91.21,0
PTX100286,2026-01-03 14:54:28.725398,T-17440a624a,E2140,U100341,172.0,0
PTX100287,2026-05-03 07:43:52.920922,T-6afffad6a0,E2033,U100037,76.11,0
PTX100288,2026-03-31 16:24:49.975013,T-6795f974de,E2148,U100257,31.22,0
PTX100289,2025-11-04 03:09:59.567107,T-78e5a8a2d9,E2120,U100504,203.01,0
PTX100290,2026-04-14 04:31:29.364550,T-436fe5b4d0,E2016,U100323,249.66,0
PTX100291,2025-12-19 22:21:51.188829,T-4c1bbed8a1,E2055,U100327,177.24,0
PTX100292,2025-11-21 06:52:21.018816,T-8f5cdbccbd,E2120,U100561,203.01,0
PTX100293,2026-05-22 14:00:46.886480,T-0a2ed12089,E2063,U100372,13.45,0
PTX100294,2026-01-15 09:01:04.443320,T-06d6a2fd85,E2042,U100174,170.65,0
PTX100295,2026-01-14 10:23:06.902271,T-c9abda94a5,E2147,U100024,36.81,0
PTX100296,2026-01-24 13:06:46.067744,T-346e88f317,E2053,U100409,67.42,0
PTX100297,2026-01-18 17:39:37.868248,T-a45d8b64f9,E2010,U100365,295.6,0
PTX100298,2025-12-14 17:06:11.621118,T-6d6df15af9,E2056,U100439,203.24,0
PTX100299,2026-03-23 09:51:45.130133,T-49de93a000,E2010,U100170,295.6,0
PTX100300,2025-12-04 11:11:07.419619,T-ebe6ad927b,E2140,U100220,172.0,0
PTX100301,2026-03-10 18:39:30.683153,T-fe2d5c340e,E2039,U100132,272.37,0
PTX100302,2026-06-19 19:21:07.621942,T-d1d91e69a2,E2100,U100424,123.4,0
