event_id,category,face_value_price,event_date,max_resale_multiplier,high_demand,total_tickets,organizer_id
E2029,movie,24.69,2026-05-02 05:44:34.291181,1.35,1,4908,U100000
E2030,movie,21.8,2026-01-21 05:43:41.377498,1.19,0,2891,U100000
E2031,movie,27.14,2026-02-24 15:09:05.023737,1.37,0,3126,U100000
E2032,movie,36.74,2026-04-16 11:31:08.209773,1.24,0,3262,U100000
E2033,concert,76.11,2026-06-24 14:20:19.082141,1.45,0,3090,U100000
E2034,sports,108.96,2026-05-16 19:26:50.892657,1.43,1,2766,U100000
E2035,sports,142.11,2026-01-19 01:57:31.595994,1.3,0,4934,U100000
E2036,concert,209.97,2026-04-29 10:55:11.143679,1.41,0,3692,U100000
E2037,concert,200.88,2026-02-14 08:20:32.426369,1.21,0,533,U100000
E2038,sports,110.29,2026-05-27 19:16:46.153149,1.3,1,2020,U100000
E2039,sports,272.37,2026-06-15 11:42:57.931351,1.18,0,4875,U100000
E2040,movie,32.45,2026-04-29 16:35:24.390355,1.44,0,2077,U100000
E2041,concert,268.89,2026-04-29 06:32:25.896510,1.43,1,1099,U100000
E2042,sports,170.65,2026-03-09 17:14:20.138683,1.46,1,4355,U100000
E2043,movie,9.04,2026-03-31 06:00:00.365667,1.45,0,3153,U100000
E2044,concert,96.95,2026-06-22 19:43:12.353929,1.48,1,2856,U100000
E2045,sports,170.7,2026-05-25 15:56:15.319112,1.19,1,2158,U100000
E2046,sports,79.47,2026-04-14 22:49:03.239544,1.47,0,709,U100000
E2047,sports,131.5,2026-03-15 15:30:55.634372,1.33,1,1981,U100000
E2048,sports,187.11,2026-01-11 01:49:21.877626,1.27,0,2243,U100000
E2049,movie,14.69,2026-01-29 14:26:07.894920,1.32,0,4663,U100000
E2050,movie,14.34,2026-02-08 14:31:15.275240,1.24,0,1605,U100000
E2051,concert,240.35,2026-03-16 16:14:27.627510,1.22,0,831,U100000
E2052,concert,261.8,2026-07-08 19:53:22.221478,1.2,0,2194,U100000
E2053,concert,67.42,2026-04-12 00:44:10.663159,1.13,0,4985,U100000
E2054,concert,235.15,2026-02-16 23:13:58.021120,1.3,0,2462,U100000
E2055,concert,177.24,2026-01-22 03:36:02.375335,1.46,0,1957,U100000
E2056,concert,203.24,2026-03-09 15:51:59.465139,1.35,0,3367,U100000
E2057,movie,21.71,2026-06-13 03:30:25.382322,1.31,0,3278,U100000
E2058,movie,30.07,2026-03-18 16:02:43.470134,1.27,0,1566,U100000
E2059,movie,35.78,2026-06-04 12:01:40.328067,1.29,0,4842,U100000
E2060,movie,19.83,2026-06-10 12:59:01.987472,1.18,0,3005,U100000
E2061,sports,108.5,2026-01-23 03:56:22.900394,1.43,1,382,U100000
E2062,concert,319.71,2026-05-02 17:34:00.525391,1.18,0,2097,U100000
E2063,movie,13.45,2026-07-11 19:39:39.975053,1.39,1,4622,U100000
E2064,sports,186.6,2026-03-22 10:15:45.934333,1.4,0,2027,U100000
E2065,concert,275.0,2026-01-11 04:31:53.857972,1.33,0,2882,U100000
E2066,movie,17.22,2026-07-04 15:51:10.487656,1.45,1,3101,U100000
E2067,movie,31.16,2026-06-26 17:35:53.345573,1.22,1,3551,U100000
E2068,movie,10.12,2026-04-15 10:16:44.207772,1.45,0,4374,U100000
E2069,concert,211.28,2026-04-21 10:48:53.919544,1.39,0,831,U100000
E2070,movie,34.74,2026-02-12 08:21:26.255971,1.42,0,2632,U100000
E2071,movie,10.85,2026-06-13 21:21:49.055811,1.37,0,2713,U100000
E2072,movie,8.76,2026-04-10 17:16:48.663416,1.44,1,846,U100000
E2073,concert,395.8,2026-01-07 18:36:48.300063,1.5,1,3400,U100000
E2074,movie,35.32,2026-05-17 14:28:18.447439,1.27,0,678,U100000
E2075,sports,272.63,2026-07-10 02:22:55.542191,1.43,0,2335,U100000
E2076,movie,25.54,2026-06-15 19:55:20.473175,1.4,0,1718,U100000
E2077,concert,170.13,2026-02-25 10:33:03.862838,1.28,0,859,U100000
E2078,concert,223.13,2026-01-11 15:57:37.467648,1.47,0,4129,U100000
E2079,concert,392.54,2026-07-08 01:41:12.408660,1.26,0,1296,U100000
E2080,movie,24.02,2026-07-07 09:54:03.885921,1.33,0,1350,U100000
E2081,sports,80.64,2026-04-17 11:35:36.724638,1.14,0,4286,U100000
E2082,sports,67.08,2026-05-09 11:07:24.873684,1.19,0,4399,U100000
E2083,movie,34.58,2026-04-03 12:28:49.049083,1.44,0,268,U100000
E2084,movie,9.66,2026-03-25 22:52:25.543467,1.26,1,1461,U100000
E2085,sports,266.86,2026-01-24 21:21:08.972848,1.26,0,3573,U100000
E2086,concert,90.84,2026-01-20 08:24:50.083680,1.2,0,3912,U100000
E2087,movie,29.29,2026-02-16 13:06:51.494565,1.3,0,4997,U100000
E2088,movie,29.93,2026-06-17 07:52:32.097905,1.42,0,2817,U100000
E2089,concert,230.82,2026-01-30 03:59:42.156713,1.46,0,136,U100000
E2090,concert,390.19,2026-02-15 08:09:12.705086,1.13,0,4380,U100000
E2091,concert,148.0,2026-04-20 17:20:50.945088,1.33,0,889,U100000
E2092,sports,121.83,2026-02-13 00:37:47.448393,1.29,1,691,U100000
E2093,concert,352.24,2026-02-02 15:23:31.511923,1.35,0,3403,U100000
E2094,movie,18.46,2026-04-23 15:55:04.656541,1.28,0,3058,U100000
E2095,concert,155.03,2026-03-15 14:50:51.722822,1.26,0,393,U100000
E2096,concert,350.86,2026-05-06 05:33:52.459323,1.29,1,929,U100000
E2097,movie,19.68,2026-07-02 10:35:08.282262,1.33,1,2989,U100000
E2098,movie,12.8,2026-01-31 04:46:01.311198,1.3,0,1351,U100000
E2099,concert,392.02,2026-07-02 16:28:53.641570,1.29,0,3451,U100000
E2100,concert,123.4,2026-06-30 11:57:06.637068,1.43,0,2117,U100000
E2101,movie,12.28,2026-06-15 19:37:13.440044,1.4,1,2981,U100000
E2102,concert,70.56,2026-05-07 06:10:20.651049,1.24,0,2427,U100000
E2103,concert,193.22,2026-05-05 00:42:14.241005,1.42,0,1889,U100000
E2104,concert,128.06,2026-05-08 20:13:14.763703,1.44,0,1777,U100000
E2105,sports,64.45,2026-05-19 02:22:43.125044,1.16,0,3516,U100000
E2106,sports,286.96,2026-01-04 07:06:52.426302,1.33,1,2620,U100000
E2107,concert,289.44,2026-07-11 14:50:39.767896,1.21,0,3012,U100000
E2108,movie,32.39,2026-04-28 02:53:52.998125,1.4,0,2928,U100000
E2109,concert,180.77,2026-06-06 07:02:09.704874,1.2,0,1117,U100000
E2110,concert,178.61,2026-03-17 10:57:10.178980,1.37,0,4574,U100000
E2111,movie,31.94,2026-01-03 11:30:23.856465,1.2,0,2859,U100000
E2112,movie,10.3,2026-04-12 22:43:34.922665,1.3,0,3618,U100000
E2113,movie,26.95,2026-04-12 10:30:45.261779,1.48,1,4421,U100000
E2114,concert,349.89,2026-03-29 09:32:54.902022,1.25,0,4631,U100000
E2115,concert,254.46,2026-03-09 22:38:30.695921,1.45,0,3367,U100000
E2116,movie,8.35,2026-02-19 23:09:54.797352,1.49,0,3956,U100000
E2117,sports,140.34,2026-04-16 12:12:55.431311,1.45,0,2411,U100000
E2118,sports,91.21,2026-03-17 01:20:06.253904,1.17,0,3715,U100000
E2119,movie,16.24,2026-07-13 23:40:22.939101,1.43,0,1675,U100000
E2120,sports,203.01,2026-02-04 14:03:03.878213,1.11,0,3587,U100000
E2121,movie,11.97,2026-03-05 22:23:41.008596,1.26,1,520,U100000
E2122,sports,129.8,2026-02-28 19:00:36.937577,1.45,0,4579,U100000
E2123,sports,178.82,2026-04-19 15:53:02.565357,1.38,0,1298,U100000
E2124,movie,33.35,2026-04-10 20:32:42.840513,1.31,0,3317,U100000
E2125,sports,138.51,2026-05-09 17:57:15.242531,1.26,1,154,U100000
E2126,sports,192.76,2026-07-10 00:00:30.595522,1.42,0,863,U100000
E2127,sports,291.21,2026-02-27 01:03:40.357334,1.38,1,4934,U100000
E2128,sports,175.71,2026-05-19 13:18:12.716726,1.29,1,4183,U100000
E2129,concert,302.62,2026-01-06 00:11:34.707930,1.46,0,1190,U100000
E2130,movie,17.52,2026-02-22 11:27:52.808837,1.19,0,741,U100000
E2131,sports,55.27,2026-04-03 17:51:16.899781,1.17,0,4092,U100000
E2132,concert,115.37,2026-01-07 04:46:29.944954,1.36,0,4951,U100000
E2133,concert,236.52,2026-05-04 12:48:48.278367,1.49,0,926,U100000
E2134,concert,241.3,2026-05-16 15:53:27.313182,1.2,0,3353,U100000
E2135,concert,120.49,2026-05-30 08:18:44.032401,1.2,0,1489,U100000
E2136,movie,25.2,2026-04-14 07:33:27.443687,1.16,0,3747,U100000
E2137,concert,64.8,2026-05-01 18:56:03.810831,1.44,0,2149,U100000
E2138,movie,11.43,2026-03-21 05:06:47.542092,1.19,0,714,U100000
E2139,concert,149.96,2026-01-09 06:00:52.401713,1.3,0,1689,U100000
E2140,sports,172.0,2026-01-20 23:46:08.067784,1.5,0,2739,U100000
E2141,concert,96.8,2026-05-11 23:58:49.570201,1.1,1,4011,U100000
E2142,concert,141.68,2026-07-19 02:39:55.576842,1.32,0,203,U100000
E2143,movie,11.96,2026-01-04 03:51:19.972742,1.3,0,4792,U100000
E2144,sports,199.23,2026-04-22 12:24:02.825160,1.42,0,3283,U100000
E2145,concert,154.98,2026-05-31 04:50:31.249811,1.24,0,4388,U100000
E2146,concert,125.6,2026-06-15 08:31:09.028080,1.26,0,4657,U100000
E2147,movie,36.81,2026-04-20 00:59:00.693127,1.17,0,852,U100000
E2148,movie,31.22,2026-05-04 23:35:48.137581,1.4,0,559,U100000
E2149,concert,175.26,2026-05-20 08:16:47.054344,1.41,0,3905,U100000
